ts,open,high,low,close,volume
1752062400000,109018.9,109746.0,108447.8,109009.9,21803.687
1752076800000,109009.9,111999.0,108968.8,111702.6,28196.323
1752091200000,111702.6,111914.2,110530.0,111209.7,18145.378
1752105600000,111209.7,111524.7,110832.8,111025.8,6033.976
1752120000000,111025.8,111421.2,110863.1,111190.8,6779.092
1752134400000,111190.8,111366.0,110825.0,110979.5,4460.738
1752148800000,110979.5,111379.2,110450.9,111359.2,12716.499
1752163200000,111359.2,113789.3,111293.8,113247.4,36475.218
1752177600000,113247.4,117896.7,113220.0,115990.1,43701.536
1752192000000,115990.1,116941.4,115200.0,116853.2,11966.532
1752206400000,116853.2,118387.0,116461.1,117554.6,25844.221
1752220800000,117554.6,118849.9,117554.5,117801.6,15106.12
1752235200000,117801.6,118224.9,116727.4,116908.7,19184.754
1752249600000,116908.7,118117.7,116600.8,118079.2,13456.772
1752264000000,118079.2,118079.3,117114.1,117508.8,7330.47
1752278400000,117508.8,117820.0,117101.9,117752.5,4271.663
1752292800000,117752.5,118035.2,117456.2,117683.9,3741.883
1752307200000,117683.9,118195.1,117580.0,117772.2,7776.679
1752321600000,117772.2,117825.8,116868.1,117066.3,12073.383
1752336000000,117066.3,117601.4,117007.3,117511.2,4080.389
1752350400000,117511.2,117518.9,116940.0,117369.9,3312.032
1752364800000,117369.9,117787.9,117173.3,117706.6,3910.038
1752379200000,117706.6,118023.0,117627.1,117950.8,3141.457
1752393600000,117950.8,118054.5,117653.1,118029.9,3219.474
1752408000000,118029.9,119390.4,117929.6,118623.0,21720.464
1752422400000,118623.0,119474.9,118320.0,118918.6,8182.697
1752436800000,118918.6,119347.8,118168.2,119050.2,7397.937
1752451200000,119050.2,121600.0,118859.2,120725.0,24905.968
1752465600000,120725.0,123250.0,120509.2,122741.2,30309.98
1752480000000,122741.2,122758.0,121350.0,121480.1,14225.932
1752494400000,121480.1,122100.0,119609.8,119889.3,26278.951
1752508800000,119889.3,120535.9,119232.4,119950.0,16529.965
1752523200000,119950.0,120458.8,119501.6,119841.6,6714.991
1752537600000,119841.6,119946.6,116880.0,117210.2,31142.267
